2026-09-16 11:40:20 INFO     [alife_memory_z] [记忆·Z] 轮换槽位(archive)：注入 2 条（记忆 0、记忆 1）
2026-09-16 11:40:32 INFO     [alife_memory_z] [记忆·Z] 轮换槽位(archive)：命中 1/1 条 → 下轮换批
2026-09-18 13:08:59 INFO     [alife_memory_z] [记忆·Z] 存量时间/发言人回填：事实 0 条、记录 0 条（另有 0 条群聊老记录判定不出是谁说的，新记录不受影响）
2026-09-18 13:08:59 INFO     [alife_memory_z] [记忆·Z] 历史工具记录清理：扫描 0 · 移除 0 · 重写 0 · 约省 0 字符
2026-09-18 13:08:59 INFO     [alife_memory_z] [记忆·Z] 检索索引已就绪（无待补齐记录）
2026-09-18 13:08:59 INFO     [alife_memory_z] [记忆·Z] 记忆系统就绪 · 访问范围 global · 向量检索关闭
2026-09-18 13:08:59 INFO     [alife_memory_z] [记忆·Z] 待压缩扫描：2 个会话有内容可压，本次排 2 个
2026-09-18 13:08:59 WARNING  [alife_memory_z] [记忆·Z] 后台任务失败 compress · AttributeError，耗时 0.0 秒；源记忆保留
2026-09-18 13:08:59 WARNING  [alife_memory_z] [记忆·Z] 后台任务失败 compress · AttributeError，耗时 0.0 秒；源记忆保留
2026-09-18 13:09:41 INFO     [alife_memory_z] [记忆·Z] 存量时间/发言人回填：事实 0 条、记录 0 条（另有 0 条群聊老记录判定不出是谁说的，新记录不受影响）
2026-09-18 13:09:41 INFO     [alife_memory_z] [记忆·Z] 检索索引已就绪（无待补齐记录）
2026-09-18 13:09:41 INFO     [alife_memory_z] [记忆·Z] 历史工具记录清理：扫描 0 · 移除 0 · 重写 0 · 约省 0 字符
2026-09-18 13:09:41 INFO     [alife_memory_z] [记忆·Z] 记忆系统就绪 · 访问范围 global · 向量检索关闭
2026-09-18 13:09:41 INFO     [alife_memory_z] [记忆·Z] 待压缩扫描：1 个会话有内容可压，本次排 1 个
2026-09-18 13:10:35 INFO     [alife_memory_z] [记忆·Z] 存量时间/发言人回填：事实 0 条、记录 0 条（另有 0 条群聊老记录判定不出是谁说的，新记录不受影响）
2026-09-18 13:10:35 INFO     [alife_memory_z] [记忆·Z] 检索索引已就绪（无待补齐记录）
2026-09-18 13:10:35 INFO     [alife_memory_z] [记忆·Z] 历史工具记录清理：扫描 0 · 移除 0 · 重写 0 · 约省 0 字符
2026-09-18 13:10:35 INFO     [alife_memory_z] [记忆·Z] 记忆系统就绪 · 访问范围 global · 向量检索关闭
2026-09-18 13:10:35 INFO     [alife_memory_z] [记忆·Z] 待压缩扫描：1 个会话达到压缩条件，本次排 1 个
2026-09-18 13:10:35 WARNING  [alife_memory_z] [记忆·Z] 压缩请求未完成，以 2 条重试 1/2
2026-09-18 13:10:36 WARNING  [alife_memory_z] [记忆·Z] 压缩请求未完成，以 2 条重试 2/2
2026-09-18 13:10:36 WARNING  [alife_memory_z] [记忆·Z] 后台任务失败 compress · OutputRejected · 输出不是契约要求的JSON对象或类型，耗时 0.8 秒；源记忆保留
2026-09-18 19:37:26 INFO     [alife_memory_z] [记忆·Z] 启动中：版本 2.18.31 · 加载自 /var/minis/workspace/z_main
2026-09-18 19:37:26 INFO     [alife_memory_z] [记忆·Z] 存量时间/发言人回填：事实 0 条、记录 0 条（另有 0 条群聊老记录判定不出是谁说的，新记录不受影响）
2026-09-18 19:37:26 INFO     [alife_memory_z] [记忆·Z] 检索索引已就绪（无待补齐记录）
2026-09-18 19:37:26 INFO     [alife_memory_z] [记忆·Z] 历史工具记录清理：扫描 0 · 移除 0 · 重写 0 · 约省 0 字符
2026-09-18 19:37:26 INFO     [alife_memory_z] [记忆·Z] 记忆系统就绪 · 访问范围 global · 向量检索关闭
2026-09-18 19:37:35 INFO     [alife_memory_z] [记忆·Z] 启动中：版本 2.18.31 · 加载自 /var/minis/workspace/z_main
2026-09-18 19:37:35 INFO     [alife_memory_z] [记忆·Z] 存量时间/发言人回填：事实 0 条、记录 0 条（另有 0 条群聊老记录判定不出是谁说的，新记录不受影响）
2026-09-18 19:37:35 INFO     [alife_memory_z] [记忆·Z] 检索索引已就绪（无待补齐记录）
2026-09-18 19:37:35 INFO     [alife_memory_z] [记忆·Z] 历史工具记录清理：扫描 0 · 移除 0 · 重写 0 · 约省 0 字符
2026-09-18 19:37:35 INFO     [alife_memory_z] [记忆·Z] 记忆系统就绪 · 访问范围 global · 向量检索关闭
2026-09-18 19:38:39 INFO     [alife_memory_z] [记忆·Z] 启动中：版本 2.18.31 · 加载自 /var/minis/workspace/z_main
2026-09-18 19:38:39 INFO     [alife_memory_z] [记忆·Z] 存量时间/发言人回填：事实 0 条、记录 0 条（另有 0 条群聊老记录判定不出是谁说的，新记录不受影响）
2026-09-18 19:38:39 INFO     [alife_memory_z] [记忆·Z] 历史工具记录清理：扫描 0 · 移除 0 · 重写 0 · 约省 0 字符
2026-09-18 19:38:39 INFO     [alife_memory_z] [记忆·Z] 检索索引已就绪（无待补齐记录）
2026-09-18 19:38:39 INFO     [alife_memory_z] [记忆·Z] 记忆系统就绪 · 访问范围 global · 向量检索关闭
2026-09-18 19:39:08 INFO     [alife_memory_z] [记忆·Z] 启动中：版本 2.18.31 · 加载自 /var/minis/workspace/z_main
2026-09-18 19:39:08 INFO     [alife_memory_z] [记忆·Z] 存量时间/发言人回填：事实 0 条、记录 0 条（另有 0 条群聊老记录判定不出是谁说的，新记录不受影响）
2026-09-18 19:39:08 INFO     [alife_memory_z] [记忆·Z] 检索索引已就绪（无待补齐记录）
2026-09-18 19:39:08 INFO     [alife_memory_z] [记忆·Z] 历史工具记录清理：扫描 0 · 移除 0 · 重写 0 · 约省 0 字符
2026-09-18 19:39:08 INFO     [alife_memory_z] [记忆·Z] 记忆系统就绪 · 访问范围 global · 向量检索关闭
